iter	Accuracy	Logloss
0	0.8561014632	0.6389186007
1	0.8605410102	0.5932787045
2	0.8558153827	0.553937434
3	0.856758389	0.5215487093
4	0.8565040952	0.495100585
5	0.8573835281	0.4739907062
6	0.8604244588	0.4546249769
7	0.8686254357	0.437028378
8	0.8751840982	0.4211115282
9	0.8769853463	0.4051194454
10	0.8739867979	0.3897656149
11	0.8781508598	0.3763832331
12	0.8821030102	0.366403457
13	0.883512222	0.3560027892
14	0.8880365336	0.3488478056
15	0.891310567	0.3396753385
16	0.8923489336	0.3310688169
17	0.8949872323	0.3239772563
18	0.8987380667	0.3160539081
19	0.8965553778	0.3088986274
20	0.8979857807	0.3040582061
21	0.9011326672	0.2995103849
22	0.9040146643	0.2933479169
23	0.9049046928	0.2894194815
24	0.9052013689	0.2849679392
25	0.9057629346	0.2814101171
26	0.9066741542	0.2770361131
27	0.9061443753	0.2734022195
28	0.9066635586	0.2699095635
29	0.9084648068	0.2662488838
30	0.9078714545	0.262489546
31	0.9087932697	0.260300728
32	0.9097256805	0.2560687079
33	0.9102236726	0.2533267763
34	0.9120990898	0.2506131087
35	0.9127136333	0.2482245044
36	0.9147373886	0.24557543
37	0.9147056019	0.2436427179
38	0.9149069179	0.2417179627
39	0.9162101739	0.2392631751
40	0.9163161296	0.2378493047
41	0.916983651	0.2352869659
42	0.9178101061	0.2333042508
43	0.9180432088	0.2308065369
44	0.9195053984	0.2286437939
45	0.9196855233	0.2269953969
46	0.9200457729	0.2259838621
47	0.9208616324	0.2242917415
48	0.9205543606	0.2230071021
49	0.9207556766	0.2205613601
50	0.9209887793	0.2190638236
51	0.9214443891	0.2179524506
52	0.9215185582	0.2164488776
53	0.922175484	0.2146089102
54	0.9221542928	0.213365589
55	0.922249653	0.2122162711
56	0.9229065788	0.2105792758
57	0.9230231301	0.2097238491
58	0.9229701523	0.2087615195
59	0.9232562328	0.207324202
60	0.9236906515	0.2061684094
61	0.9238707763	0.2051527156
62	0.9240826879	0.2044482817
63	0.9243687685	0.2027170749
64	0.9251422456	0.2003077026
65	0.9254071351	0.1992718033
66	0.9266044353	0.196462318
67	0.9269434938	0.1956271023
68	0.9276745886	0.1933532762
69	0.9278759046	0.1925085678
70	0.9282467498	0.1917402517
71	0.9283315144	0.1911576213
72	0.928416279	0.1908033385
73	0.9287553375	0.1896836234
74	0.9293804766	0.1887290887
75	0.9294970279	0.1881004354
76	0.9294546456	0.1875970937
77	0.9296029837	0.1867804032
78	0.929645366	0.1862739874
79	0.9297831085	0.1857049328
80	0.9301115714	0.1845673933
81	0.9304718211	0.1840412729
82	0.9306307547	0.1834823821
83	0.930598968	0.1830968711
84	0.9307684972	0.18242532
85	0.9313088717	0.1806523699
86	0.9316797169	0.179797363
87	0.9318492461	0.1792380409
88	0.931902224	0.1783452098
89	0.9320187754	0.1776405601
90	0.9322518781	0.1771136495
91	0.9326439144	0.1765661832
92	0.9328876127	0.1758957225
93	0.9329405906	0.1752305981
94	0.9329617818	0.174871502
95	0.9331419066	0.1743652961
96	0.9333220314	0.1738174654
97	0.9334279872	0.1733228994
98	0.9335763252	0.1728772047
99	0.9340743174	0.1713961031
