iter	Passed	Remaining
0	294	293893
1	342	170906
2	379	125981
3	416	103694
4	456	90760
5	496	82220
6	531	75383
7	564	69994
8	605	66646
9	642	63626
10	676	60847
11	709	58428
12	745	56578
13	777	54756
14	811	53256
15	844	51929
16	878	50796
17	913	49815
18	947	48923
19	981	48096
20	1016	47375
21	1052	46797
22	1087	46191
23	1120	45559
24	1152	44965
25	1190	44602
26	1223	44107
27	1258	43694
28	1296	43413
29	1332	43094
30	1373	42931
31	1412	42718
32	1457	42698
33	1492	42402
34	1529	42182
35	1567	41981
36	1603	41739
37	1635	41392
38	1708	42108
39	1762	42307
40	1795	41991
41	1828	41709
42	1862	41442
43	1895	41178
44	1928	40924
45	1959	40642
46	1989	40331
47	2022	40120
48	2056	39912
49	2088	39685
50	2122	39488
51	2156	39306
52	2231	39878
53	2299	40289
54	2363	40601
55	2402	40492
56	2442	40409
57	2483	40332
58	2518	40162
59	2553	40010
60	2590	39883
61	2620	39645
62	2652	39456
63	2687	39305
64	2726	39217
65	2771	39216
66	2815	39200
67	2852	39095
68	2890	38999
69	2928	38903
70	2969	38858
71	3012	38828
72	3154	40062
73	3222	40322
74	3311	40847
75	3383	41138
76	3451	41371
77	3502	41397
78	3546	41346
79	3630	41750
80	3708	42076
81	3765	42155
82	3802	42011
83	3843	41911
84	3883	41805
85	3918	41644
86	3961	41577
87	4013	41591
88	4052	41477
89	4103	41494
90	4152	41478
91	4189	41350
92	4285	41797
93	4344	41870
94	4453	42428
95	4508	42453
96	4548	42343
97	4581	42168
98	4612	41976
99	4644	41803
100	4676	41629
101	4709	41457
102	4741	41288
103	4773	41122
104	4810	41002
105	4849	40901
106	4892	40829
107	4928	40705
108	4964	40582
109	4996	40423
110	5027	40263
111	5059	40112
112	5091	39969
113	5124	39829
114	5249	40398
115	5287	40294
116	5321	40160
117	5358	40053
118	5394	39938
119	5443	39921
120	5484	39843
121	5524	39757
122	5578	39775
123	5654	39943
124	5718	40030
125	5773	40046
126	5813	39960
127	5911	40274
128	5996	40486
129	6066	40596
130	6141	40742
131	6206	40815
132	6291	41012
133	6323	40864
134	6360	40752
135	6397	40640
136	6437	40551
137	6480	40478
138	6521	40398
139	6565	40329
140	6603	40227
141	6641	40128
142	6675	40008
143	6709	39887
144	6743	39764
145	6769	39597
146	6808	39505
147	6844	39403
148	6884	39318
149	6923	39231
150	6962	39144
151	7001	39059
152	7040	38975
153	7082	38906
154	7124	38839
155	7162	38749
156	7199	38657
157	7236	38563
158	7279	38501
159	7314	38402
160	7352	38314
161	7387	38214
162	7482	38423
163	7601	38750
164	7664	38785
165	7698	38677
166	7732	38571
167	7771	38486
168	7809	38401
169	7844	38299
170	7882	38215
171	7921	38134
172	7953	38021
173	7991	37937
174	8030	37856
175	8069	37779
176	8105	37690
177	8142	37601
178	8183	37532
179	8220	37447
180	8258	37368
181	8299	37301
182	8338	37225
183	8374	37137
184	8411	37056
185	8450	36980
186	8485	36893
187	8522	36810
188	8556	36714
189	8587	36611
190	8617	36501
191	8649	36400
192	8684	36311
193	8715	36210
194	8748	36114
195	8782	36026
196	8813	35924
197	8848	35841
198	8879	35742
199	8913	35653
200	8952	35588
201	8995	35536
202	9034	35470
203	9069	35389
204	9103	35302
205	9136	35213
206	9168	35125
207	9200	35030
208	9237	34961
209	9270	34875
210	9306	34798
211	9341	34720
212	9374	34638
213	9408	34556
214	9441	34471
215	9472	34383
216	9505	34300
217	9581	34370
218	9652	34421
219	9712	34433
220	9746	34354
221	9777	34264
222	9809	34178
223	9838	34083
224	9870	33999
225	9902	33915
226	9935	33834
227	9970	33758
228	10003	33679
229	10036	33601
230	10077	33548
231	10113	33477
232	10145	33396
233	10182	33331
234	10212	33244
235	10245	33167
236	10278	33092
237	10311	33015
238	10342	32930
239	10377	32861
240	10410	32787
241	10441	32705
242	10477	32640
243	10508	32558
244	10541	32483
245	10571	32401
246	10604	32328
247	10634	32246
248	10665	32168
249	10694	32084
250	10769	32136
251	10842	32183
252	10883	32132
253	10913	32053
254	10947	31983
255	11028	32050
256	11108	32115
257	11161	32100
258	11203	32052
259	11238	31987
260	11271	31915
261	11300	31830
262	11329	31748
263	11362	31675
264	11395	31605
265	11426	31531
266	11458	31458
267	11492	31390
268	11526	31322
269	11559	31254
270	11591	31181
271	11622	31107
272	11656	31041
273	11685	30963
274	11718	30893
275	11750	30823
276	11785	30760
277	11817	30691
278	11850	30625
279	11885	30562
280	11919	30498
281	11953	30434
282	12034	30490
283	12126	30572
284	12191	30584
285	12223	30516
286	12261	30461
287	12293	30392
288	12330	30336
289	12363	30268
290	12394	30197
291	12424	30126
292	12450	30042
293	12479	29966
294	12507	29890
295	12533	29810
296	12559	29729
297	12586	29648
298	12611	29568
299	12635	29483
300	12661	29402
301	12685	29319
302	12712	29242
303	12739	29166
304	12767	29093
305	12800	29031
306	12833	28969
307	12867	28909
308	12901	28850
309	12939	28800
310	12979	28755
311	13016	28704
312	13049	28642
313	13083	28584
314	13118	28528
315	13199	28570
316	13278	28609
317	13330	28589
318	13362	28525
319	13394	28463
320	13426	28401
321	13456	28334
322	13491	28277
323	13528	28226
324	13561	28165
325	13595	28108
326	13629	28050
327	13661	27990
328	13694	27929
329	13727	27870
330	13759	27808
331	13792	27750
332	13824	27691
333	13859	27636
334	13893	27579
335	13934	27538
336	13979	27503
337	14015	27451
338	14048	27392
339	14085	27342
340	14122	27292
341	14161	27245
342	14200	27200
343	14238	27152
344	14272	27096
345	14303	27035
346	14337	26980
347	14368	26920
348	14402	26864
349	14440	26818
350	14533	26871
351	14573	26828
352	14614	26786
353	14652	26737
354	14684	26680
355	14718	26625
356	14751	26569
357	14784	26513
358	14821	26463
359	14857	26413
360	14919	26408
361	14965	26375
362	15013	26345
363	15069	26330
364	15103	26275
365	15136	26220
366	15165	26157
367	15200	26105
368	15241	26063
369	15283	26022
370	15331	25993
371	15370	25947
372	15410	25903
373	15451	25863
374	15537	25895
375	15622	25926
376	15712	25964
377	15750	25917
378	15786	25867
379	15818	25808
380	15850	25751
381	15885	25699
382	15919	25645
383	15951	25589
384	15984	25534
385	16019	25481
386	16057	25435
387	16100	25396
388	16135	25343
389	16171	25294
390	16207	25244
391	16239	25187
392	16272	25133
393	16304	25076
394	16336	25021
395	16370	24968
396	16405	24918
397	16441	24869
398	16474	24814
399	16510	24765
400	16611	24813
401	16703	24847
402	16745	24807
403	16787	24765
404	16818	24709
405	16856	24661
406	16893	24614
407	16928	24563
408	16960	24507
409	16994	24455
410	17029	24404
411	17062	24351
412	17095	24298
413	17131	24248
414	17164	24196
415	17197	24142
416	17231	24091
417	17264	24038
418	17297	23985
419	17332	23935
420	17365	23882
421	17444	23893
422	17524	23904
423	17609	23922
424	17650	23879
425	17694	23841
426	17741	23807
427	17791	23778
428	17825	23725
429	17860	23675
430	17893	23623
431	17923	23566
432	17954	23511
433	17986	23457
434	18091	23498
435	18214	23561
436	18260	23525
437	18295	23474
438	18328	23422
439	18360	23368
440	18393	23314
441	18425	23261
442	18457	23207
443	18491	23156
444	18526	23105
445	18558	23052
446	18592	23001
447	18627	22951
448	18660	22899
449	18692	22846
450	18724	22793
451	18758	22742
452	18864	22779
453	18906	22737
454	18940	22687
455	18973	22635
456	19004	22581
457	19036	22527
458	19069	22476
459	19101	22423
460	19132	22369
461	19167	22320
462	19199	22268
463	19235	22220
464	19274	22175
465	19310	22128
466	19343	22077
467	19378	22028
468	19411	21977
469	19443	21925
470	19474	21872
471	19508	21823
472	19540	21771
473	19573	21720
474	19605	21668
475	19637	21617
476	19670	21567
477	19704	21518
478	19737	21468
479	19768	21415
480	19800	21364
481	19835	21317
482	19868	21267
483	19901	21217
484	19933	21166
485	19966	21117
486	19996	21063
487	20026	21011
488	20060	20962
489	20091	20911
490	20129	20866
491	20172	20828
492	20209	20783
493	20243	20735
494	20277	20686
495	20308	20635
496	20338	20584
497	20376	20539
498	20411	20493
499	20448	20448
500	20482	20400
501	20516	20352
502	20547	20302
503	20579	20252
504	20610	20202
505	20643	20153
506	20673	20102
507	20707	20055
508	20739	20006
509	20772	19958
510	20806	19910
511	20839	19862
512	20871	19813
513	20903	19764
514	20937	19717
515	20969	19668
516	20999	19618
517	21032	19571
518	21064	19522
519	21095	19473
520	21129	19426
521	21161	19377
522	21193	19329
523	21224	19280
524	21257	19232
525	21290	19185
526	21319	19134
527	21351	19087
528	21385	19040
529	21417	18992
530	21442	18939
531	21526	18936
532	21566	18896
533	21601	18850
534	21635	18804
535	21669	18759
536	21703	18713
537	21738	18667
538	21768	18618
539	21800	18571
540	21834	18524
541	21867	18478
542	21902	18433
543	21937	18388
544	21969	18341
545	22001	18293
546	22033	18247
547	22068	18202
548	22099	18154
549	22131	18107
550	22162	18059
551	22194	18012
552	22225	17965
553	22258	17919
554	22291	17873
555	22321	17825
556	22355	17779
557	22386	17732
558	22416	17684
559	22446	17636
560	22477	17589
561	22509	17543
562	22540	17495
563	22569	17447
564	22601	17400
565	22631	17353
566	22661	17305
567	22702	17267
568	22750	17232
569	22802	17201
570	22844	17163
571	22877	17117
572	22910	17072
573	22946	17030
574	22981	16986
575	23017	16943
576	23056	16902
577	23094	16861
578	23134	16821
579	23171	16779
580	23207	16736
581	23240	16691
582	23276	16648
583	23310	16604
584	23341	16558
585	23371	16511
586	23402	16465
587	23434	16419
588	23467	16375
589	23502	16332
590	23535	16287
591	23567	16242
592	23598	16196
593	23632	16152
594	23662	16106
595	23695	16062
596	23729	16018
597	23763	15975
598	23796	15930
599	23835	15890
600	23873	15849
601	23910	15807
602	23943	15764
603	23978	15721
604	24008	15675
605	24041	15631
606	24073	15586
607	24109	15544
608	24143	15501
609	24179	15458
610	24209	15413
611	24238	15366
612	24272	15323
613	24305	15279
614	24336	15234
615	24370	15192
616	24402	15147
617	24434	15103
618	24465	15058
619	24497	15014
620	24528	14970
621	24562	14927
622	24596	14883
623	24628	14839
624	24659	14795
625	24692	14752
626	24719	14705
627	24753	14662
628	24784	14618
629	24817	14575
630	24848	14530
631	24879	14486
632	24911	14443
633	24943	14399
634	24980	14358
635	25019	14319
636	25053	14277
637	25088	14234
638	25123	14193
639	25156	14150
640	25188	14106
641	25219	14063
642	25254	14021
643	25288	13979
644	25318	13935
645	25352	13892
646	25386	13850
647	25418	13807
648	25449	13764
649	25485	13723
650	25520	13681
651	25549	13637
652	25581	13593
653	25618	13553
654	25648	13509
655	25679	13466
656	25713	13424
657	25747	13382
658	25780	13339
659	25813	13297
660	25847	13256
661	25882	13215
662	25914	13172
663	25949	13130
664	25980	13088
665	26015	13046
666	26048	13004
667	26081	12962
668	26114	12920
669	26153	12881
670	26192	12842
671	26225	12800
672	26262	12760
673	26293	12717
674	26327	12676
675	26364	12636
676	26406	12598
677	26448	12560
678	26480	12518
679	26511	12476
680	26543	12433
681	26575	12391
682	26610	12350
683	26642	12308
684	26675	12266
685	26708	12225
686	26741	12183
687	26773	12141
688	26806	12099
689	26840	12058
690	26875	12018
691	26914	11979
692	26948	11938
693	26983	11897
694	27014	11855
695	27047	11813
696	27082	11773
697	27117	11732
698	27154	11693
699	27193	11654
700	27230	11614
701	27264	11573
702	27307	11536
703	27349	11499
704	27401	11465
705	27440	11427
706	27481	11389
707	27523	11351
708	27562	11312
709	27597	11272
710	27630	11230
711	27666	11191
712	27700	11150
713	27736	11110
714	27770	11069
715	27802	11027
716	27840	10988
717	27887	10953
718	27918	10911
719	27951	10870
720	27983	10828
721	28014	10786
722	28047	10745
723	28080	10704
724	28114	10664
725	28144	10621
726	28185	10584
727	28217	10542
728	28250	10501
729	28283	10461
730	28312	10418
731	28344	10377
732	28374	10335
733	28412	10296
734	28450	10257
735	28486	10217
736	28519	10177
737	28554	10137
738	28589	10097
739	28621	10056
740	28653	10015
741	28683	9973
742	28716	9933
743	28749	9892
744	28783	9852
745	28817	9811
746	28853	9772
747	28886	9731
748	28918	9691
749	28951	9650
750	28982	9609
751	29013	9568
752	29046	9527
753	29078	9487
754	29109	9446
755	29143	9406
756	29176	9365
757	29207	9324
758	29239	9284
759	29276	9245
760	29309	9204
761	29341	9164
762	29371	9123
763	29404	9083
764	29437	9042
765	29466	9001
766	29502	8962
767	29529	8920
768	29569	8882
769	29614	8846
770	29650	8806
771	29683	8766
772	29717	8726
773	29750	8686
774	29782	8646
775	29812	8605
776	29841	8564
777	29870	8523
778	29904	8483
779	29937	8443
780	29970	8403
781	30002	8363
782	30034	8323
783	30066	8283
784	30099	8243
785	30132	8203
786	30165	8164
787	30198	8124
788	30229	8084
789	30261	8044
790	30292	8004
791	30325	7964
792	30360	7925
793	30394	7885
794	30427	7846
795	30457	7805
796	30492	7766
797	30526	7727
798	30557	7687
799	30591	7647
800	30625	7608
801	30658	7569
802	30691	7529
803	30728	7490
804	30767	7452
805	30802	7413
806	30841	7376
807	30878	7337
808	30917	7299
809	30957	7261
810	30997	7223
811	31039	7186
812	31073	7147
813	31103	7107
814	31139	7068
815	31170	7028
816	31201	6988
817	31234	6949
818	31266	6909
819	31297	6870
820	31330	6830
821	31364	6791
822	31398	6752
823	31429	6713
824	31461	6673
825	31493	6634
826	31525	6594
827	31556	6555
828	31589	6515
829	31618	6476
830	31651	6436
831	31683	6397
832	31716	6358
833	31749	6319
834	31781	6280
835	31813	6240
836	31849	6202
837	31890	6165
838	31922	6125
839	31956	6086
840	32002	6050
841	32045	6013
842	32080	5974
843	32113	5935
844	32148	5896
845	32181	5858
846	32218	5819
847	32255	5781
848	32296	5744
849	32337	5706
850	32374	5668
851	32404	5628
852	32437	5589
853	32469	5550
854	32502	5512
855	32534	5473
856	32565	5433
857	32603	5395
858	32641	5357
859	32672	5318
860	32711	5280
861	32751	5243
862	32790	5205
863	32830	5167
864	32870	5130
865	32911	5092
866	32950	5054
867	32990	5017
868	33033	4979
869	33069	4941
870	33108	4903
871	33144	4865
872	33175	4826
873	33204	4786
